属性,数值,关联材料,条件,原文片段,段落来源,DOI,标题
Elemental_Composition,"['Si', 'C', 'N']",,,W-rAlAg was generated by removing Ag ... from W-rAl ... The Al and Ag elements were completely remov,"W-rAl was prepared by removing Al in WSNPs with NaOH solution, whilst W-rAlAg was generated by removing Ag through mathrm 3 from W-rAl. The morphologies of the three kinds of nanoparticles are shown i",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Elemental_Composition,"['Si', 'C', 'N']",,,pure Si with a particle size of 150 − 200 mathrm was coated in an identical way to produce the pure ,"W-rAl was prepared by removing Al in WSNPs with NaOH solution, whilst W-rAlAg was generated by removing Ag through mathrm 3 from W-rAl. The morphologies of the three kinds of nanoparticles are shown i",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Interlayer_Spacing,3.21 Å,,,Clear lattice fringes with spacing of 0.321 nm can be observed in Figures 5c and which is associated,"On the other hand, transmission electron microscopy TEM and high-resolution TEM HRTEM were used to confirm the morphology and phase structure of mathrm W - mathcal W mathrm C . The nanoparticles coate",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Elemental_Composition,"['Si', 'C', 'N']",,,The nanoparticles coated by the carbon layer... N-doped carbon layer and CNTs matrix in Si/C composi,"On the other hand, transmission electron microscopy TEM and high-resolution TEM HRTEM were used to confirm the morphology and phase structure of mathrm W - mathcal W mathrm C . The nanoparticles coate",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Theoretical_Specific_Capacity,990 mAh/g,"W-rAlAgC, pure SiC, WSNPsC, W-rAlC",,which possesses only a quarter of silicon’s theoretical capacity 990 mAh/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
First_Lithiation_Capacity,1671.7 mAh/g,,high energy ball milling,The anodes of WSNPsC delivered initial discharge capacities of 1671.7 mAh/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
First_Lithiation_Capacity,2273.3 mAh/g,,high energy ball milling,The anodes of W-rAlC delivered initial discharge capacities of 2273.3 mAh/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
First_Lithiation_Capacity,2334.5 mAh/g,,high energy ball milling,The anodes of W-rAlAgC delivered initial discharge capacities of 2334.5 mAh/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
First_Lithiation_Capacity,2225.5 mAh/g,,high energy ball milling,The anodes of pure SiC delivered initial discharge capacities of 2225.5 mAh/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Initial_Coulombic_Efficiency,54.04 %,,high energy ball milling,corresponding coulombic efficiencies of 54.04% for WSNPsC,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Initial_Coulombic_Efficiency,48.41 %,,high energy ball milling,corresponding coulombic efficiencies of 48.41% for W-rAlC,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Initial_Coulombic_Efficiency,44.99 %,,high energy ball milling,corresponding coulombic efficiencies of 44.99% for W-rAlAgC,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Initial_Coulombic_Efficiency,47.06 %,,high energy ball milling,corresponding coulombic efficiencies of 47.06% for pure SiC,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,961.9 mAh/g,,"galvanostatic cycling, cyclic voltammetr",W-rAlC anode has shown a high capacity of 961.9 mAh/g after 50 cycles at 0.1 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,866.1 mAh/g,,"galvanostatic cycling, cyclic voltammetr",WSNPsC delivered relatively low capacity of 866.1 mAh/g after 50 cycles at 0.1 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,879.1 mAh/g,,"galvanostatic cycling, cyclic voltammetr",W-rAlAgC delivered relatively low capacity of 879.1 mAh/g after 50 cycles at 0.1 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,915.6 mAh/g,,"galvanostatic cycling, cyclic voltammetr",pure SiC delivered relatively low capacity of 915.6 mAh/g after 50 cycles at 0.1 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,987.4 mAh/g,,80°C,W-rAlC reversible capacity of 987.4 mAh/g at 0.2 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,665.1 mAh/g,,0.1 A/g | galvanostatic charge/discharge | half_cell,W-rAlC reversible capacity of 665.1 mAh/g at 0.5 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,384.3 mAh/g,,cyclic voltammetry | half_cell,W-rAlC reversible capacity of 384.3 mAh/g at 1.0 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Rate_Capability_at_Given_C_rate,838.6 mAh/g,,electrochemical impedance spectroscopy | half_cell,W-rAlC electrode can reach a remarkable and reversible capacity of 838.6 mAh/g at 0.5 A/g long-term ,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Average_Coulombic_Efficiency_Stable_Cycling,99.23 %,,electrochemical impedance spectroscopy | half_cell,outstanding coulombic efficiency of 99.23% for W-rAlC during long-term cycling at 0.5 A/g,"The cycling results were used to further confirm the prominent electrochemical property of W-rAlC, as shown in Figure 7a. The anodes of WSNPsC, W-rAlC, W-rAlAgC, and pure SiC delivered initial dischar",10.1007/s11771-022-5144-0,Recycling waste crystalline-silicon solar cells: Application as high performance
Elemental_Composition,"['Li', 'B', 'In']",Li-B-In,,"a certain proportion of Li, B and In containing 10 % B and 10 % In","The Li-B-In composite was fabricated by the vacuum melting reaction. In brief, a certain proportion of Li, B and In containing 10 % B and 10 % In was mixed in an iron crucible, raising the temperature",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Li_Nucleation_Overpotential,108.8 mV,,°C | vacuum melting,"The nucleation overpotential of Li-B-In composite anode is only 108.8 mV, which is much lower than t","The lithiophilicity and mathrm ions transport kinetics of Li-B-In composite anode were investigated and the results are shown in Figure 3. Firstly, the nucleation overpotential of pure Li, LiB and Li-",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Li_Nucleation_Overpotential,166.1 mV,,°C | vacuum melting,nucleation overpotential ... of LiB anode 166.1 mV,"The lithiophilicity and mathrm ions transport kinetics of Li-B-In composite anode were investigated and the results are shown in Figure 3. Firstly, the nucleation overpotential of pure Li, LiB and Li-",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Li_Nucleation_Overpotential,206.1 mV,,°C | vacuum melting,nucleation overpotential ... of pure Li anode 206.1 mV,"The lithiophilicity and mathrm ions transport kinetics of Li-B-In composite anode were investigated and the results are shown in Figure 3. Firstly, the nucleation overpotential of pure Li, LiB and Li-",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Plateau_Overpotential,73 mV,,°C | vacuum melting,the polarization voltage is only 73 mV with no significant voltage fluctuations.,"After cycling, the R mathrm values of all batteries decreased, with the Li-B-In composite anode still having the smallest R mathrm and the most significant change. This indicates that the Li-B-In comp",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Symmetric_Cell_Cycling_Stability,670 h,,°C | vacuum melting,"At a regular evaluation condition of 2 mA/cm2 and 1 mAh/cm2, the Li-B-In//Li-B-In symmetric cell cou","Due to the effectiveness of the hetero-metallic lithiophilic sites, the Li-B-In composite anode exhibits significantly enhanced electrochemical stability. The cycle performance was evaluated by using ",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Symmetric_Cell_Cycling_Stability,1300 h,,half_cell,"The cells were further tested at a high capacity of 5 mAh/cm2, demonstrating excellent cycling stabi","Due to the effectiveness of the hetero-metallic lithiophilic sites, the Li-B-In composite anode exhibits significantly enhanced electrochemical stability. The cycle performance was evaluated by using ",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Symmetric_Cell_Cycling_Stability,220 h,,ex-situ SEM thickness measurement after ,when the symmetric cell based on Li-B-In was tested at a conventional condition of 1 mA/cm2 and 1 mA,"Due to the effectiveness of the hetero-metallic lithiophilic sites, the Li-B-In composite anode exhibits significantly enhanced electrochemical stability. The cycle performance was evaluated by using ",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Plateau_Overpotential,62 mV,,°C | vacuum melting,the symmetric cell with Li-B-In composite anode displays a stable and much lower polarization 62 mV ,"Due to the effectiveness of the hetero-metallic lithiophilic sites, the Li-B-In composite anode exhibits significantly enhanced electrochemical stability. The cycle performance was evaluated by using ",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Plateau_Overpotential,67.2 mV,,°C | vacuum melting,67.2 mV for 100th cycle,"Due to the effectiveness of the hetero-metallic lithiophilic sites, the Li-B-In composite anode exhibits significantly enhanced electrochemical stability. The cycle performance was evaluated by using ",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Plateau_Overpotential,79 mV,,°C | vacuum melting,79 mV for 200th cycle,"Due to the effectiveness of the hetero-metallic lithiophilic sites, the Li-B-In composite anode exhibits significantly enhanced electrochemical stability. The cycle performance was evaluated by using ",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Chemical_Formula,Li-B-In,,,"The mathrm 4 mathrm : , a conducting additive AB and a binder PVDF were mixed with a mass ratio of 8","The mathrm 4 mathrm : , a conducting additive AB and a binder PVDF were mixed with a mass ratio of 8:1: 1 in NMP solution. The electrolyte used for full cells testing is 1 mathrm / L lithium hexafluor",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Elemental_Composition,"['Li', 'B', 'In']",Li-B-In,,the coexisting XRD peaks of Li-B-In composite electrode demonstrate the prepared anode is composed o,"X-ray diffraction XRD pattern confirms the successful preparation of Li-B-In composite electrode Figure 1a. Specifically, the peaks located at 36.19 circ , 51.97 circ and 64.98 circ belonging to the L",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Chemical_Formula,Li (free) + LiB + Li3In13,Li-B-In,,"the prepared anode is composed of free-Li, LiB compound and Li-In intermetallic phase (PDF #33-0615)","X-ray diffraction XRD pattern confirms the successful preparation of Li-B-In composite electrode Figure 1a. Specifically, the peaks located at 36.19 circ , 51.97 circ and 64.98 circ belonging to the L",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Capacity_Retention_at_Nth_Cycle,62.0 %,,°C | vacuum melting,The capacity retention rates of the bare Li and Li-B-In anode after 30 cycles are 52.5 % and 62.0 % ,Further evaluate the performance of soft pack batteries assembled with S as the cathode and different anodes materials in practical applications Figure S5. The initial capacity of the Li-B-In//S pouch,10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Capacity_Retention_at_Nth_Cycle,87.2 %,,°C | vacuum melting,highcapacity retention rate of 87.2 % after 300 cycles,"To demonstrate the practicality of Li-B-In composite anode, full cells with mathrm 4 as the cathode materials were assembled for evaluation. At a current density of 1C mathrm 1 C 170 / g , the initial",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Rate_Capability_at_Given_C_rate,128.47 mAh/g,,half_cell,Li-B-In//LiFePO4 in the rate test can still release a high specific capacity of 128.47 mathrm cdot m,"To demonstrate the practicality of Li-B-In composite anode, full cells with mathrm 4 as the cathode materials were assembled for evaluation. At a current density of 1C mathrm 1 C 170 / g , the initial",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Elemental_Composition,"['Li', 'B', 'In']","Li-B-In composite anode, Li-B-In",,Li-B-In composite anode,"In conclusion, a hetero-metallic lithiophilic alloy was introduced as a nucleation site into the LiB fiber electrode to construct a Li-B-In composite anode by a simple melting method. A large amount o",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Capacity_Retention_at_Nth_Cycle,87.2 %,,ex-situ SEM thickness measurement after ,the full cell matched with Li-B-In composite anode and the mathrm 4 cathode demonstrates superior ca,"In conclusion, a hetero-metallic lithiophilic alloy was introduced as a nucleation site into the LiB fiber electrode to construct a Li-B-In composite anode by a simple melting method. A large amount o",10.1007/s11771-024-5829-7,Hetero-metallic lithiophilic sites to assist sustained diffusion-deposition of L
Interfacial_Resistance_RSEI_or_Rct,9.7 Ω,,EIS,SEI resistance R mathrm of 9.7 Omega before cycling,"EIS analysis showed that the GCN electrode exhibited an SEI resistance R mathrm of 9.7 Omega and charge transfer resistance R mathrm of 9.2 Omega before cycling Fig. 4e. After 50 cycles, the R mathrm ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Interfacial_Resistance_RSEI_or_Rct,9.2 Ω,,EIS,charge transfer resistance R mathrm of 9.2 Omega before cycling,"EIS analysis showed that the GCN electrode exhibited an SEI resistance R mathrm of 9.7 Omega and charge transfer resistance R mathrm of 9.2 Omega before cycling Fig. 4e. After 50 cycles, the R mathrm ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Interfacial_Resistance_RSEI_or_Rct,9.2 Ω,,EIS,"After 50 cycles, the R mathrm (SEI) value was 9.2 Omega","EIS analysis showed that the GCN electrode exhibited an SEI resistance R mathrm of 9.7 Omega and charge transfer resistance R mathrm of 9.2 Omega before cycling Fig. 4e. After 50 cycles, the R mathrm ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Interfacial_Resistance_RSEI_or_Rct,6.0 Ω,,EIS,"After 50 cycles, the R mathrm (charge transfer) value was 6.0 Omega","EIS analysis showed that the GCN electrode exhibited an SEI resistance R mathrm of 9.7 Omega and charge transfer resistance R mathrm of 9.2 Omega before cycling Fig. 4e. After 50 cycles, the R mathrm ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Interfacial_Resistance_RSEI_or_Rct,7.9 Ω,,EIS,"After 100 cycles, the R mathrm (SEI) of the GCN electrode were 7.9 Omega","EIS analysis showed that the GCN electrode exhibited an SEI resistance R mathrm of 9.7 Omega and charge transfer resistance R mathrm of 9.2 Omega before cycling Fig. 4e. After 50 cycles, the R mathrm ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Interfacial_Resistance_RSEI_or_Rct,4.0 Ω,,EIS,"After 100 cycles, the R mathrm (charge transfer) of the GCN electrode were 4.0 Omega","EIS analysis showed that the GCN electrode exhibited an SEI resistance R mathrm of 9.7 Omega and charge transfer resistance R mathrm of 9.2 Omega before cycling Fig. 4e. After 50 cycles, the R mathrm ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
SEI_Chemical_Composition_XPS,"[{'peak': 'N1s before lithiation', 'binding_energy_eV': 398.03, 'assignment': 'C-N=C groups'}, {'peak': 'N1s before lithiation', 'binding_energy_eV': 399.2, 'assignment': 'N-C3'}, {'peak': 'N1s before lithiation', 'binding_energy_eV': 400.7, 'assignment': 'C-N=C'}, {'peak': 'N1s after lithiation', 'binding_energy_eV': 398.31, 'assignment': 'C-N=C'}, {'peak': 'N1s after lithiation', 'binding_energy_eV': 399.51, 'assignment': 'N-C3'}, {'peak': 'N1s after lithiation', 'binding_energy_eV': 398.6, 'assignment': 'Li3N'}, {'peak': 'Li1s after lithiation', 'binding_energy_eV': 55.2, 'assignment': 'Li3N'}] eV",,,The N 1s spectrum ... exhibited a strong peak at 398.03 ... two peaks at 399.20 and 400.70 ... N1s p,Electrode thicknesses after charge-discharge cycling were measured by SEM to understand the vital role played by the highly elastic wrinkled structure in restricting volume expansion in the electrode.,10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Average_Coulombic_Efficiency_Stable_Cycling,98.6 %,,EIS,high CE of 98.6 % after 300 cycles,"A 3D current collector with highly elastic, lithiophilic sites, and wrinkled structure was developed in this study for Li-metal anodes. This highly elastic structure effectively released the stress ca",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Symmetric_Cell_Cycling_Stability,1700 h,,EIS,long cycle life of more than 1700 mathrm h at mathrm i . 0 mathrm mathrm - 2,"A 3D current collector with highly elastic, lithiophilic sites, and wrinkled structure was developed in this study for Li-metal anodes. This highly elastic structure effectively released the stress ca",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Capacity_Retention_at_Nth_Cycle,98.15 %,,EIS,capacity-retention rate of the cells assembled with LFP was 98.15 % after 100 cycles at 1 C,"A 3D current collector with highly elastic, lithiophilic sites, and wrinkled structure was developed in this study for Li-metal anodes. This highly elastic structure effectively released the stress ca",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,58 mV,,EIS,Cu; 58,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,61 mV,,EIS,Cu; 61,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,70 mV,,EIS,Cu; 70,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,149 mV,,EIS,Cu; 149,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,25 mV,,EIS,rGO; 25,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,52 mV,,EIS,rGO; 52,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,69 mV,,EIS,rGO; 69,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,85 mV,,EIS,rGO; 85,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,15 mV,,EIS,GCN; 15,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,31 mV,,EIS,GCN; 31,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,62 mV,,EIS,GCN; 62,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,66 mV,,EIS,GCN; 66,"TABLE DATA BLOCK
Headers: ; 1 mA cm-2; Overpotential (mV)
Rows:
Row 1: ; 2 mA cm-2; 3 mA cm-2; 5 mA cm-2
Row 2: Cu; 58; 61; 70; 149
Row 3: rGO; 25; 52; 69; 85
Row 4: GCN; 15; 31; 62; 66
Column data:
 ",10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,15 mV,,EIS,The nucleation overpotential of GCN was 15 mathrm at 1 mathrm mathrm - 2,A comparison of the nucleation overpotentials of different electrodes further proved the lithiophilicity of mathrm C 3 mathrm N 4 . The nucleation overpotential of GCN was 15 mathrm at 1 mathrm mathrm,10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,25 mV,,EIS,that of the rGO 25 mathrm and Cu mathrm 58 electrodes,A comparison of the nucleation overpotentials of different electrodes further proved the lithiophilicity of mathrm C 3 mathrm N 4 . The nucleation overpotential of GCN was 15 mathrm at 1 mathrm mathrm,10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,58 mV,,EIS,that of the rGO 25 mathrm and Cu mathrm 58 electrodes,A comparison of the nucleation overpotentials of different electrodes further proved the lithiophilicity of mathrm C 3 mathrm N 4 . The nucleation overpotential of GCN was 15 mathrm at 1 mathrm mathrm,10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
Li_Nucleation_Overpotential,66 mV,,EIS,"Even at a current density as high as 5.0 mathrm mathrm - 2 , it exhibited a low overpotential of 66 ",A comparison of the nucleation overpotentials of different electrodes further proved the lithiophilicity of mathrm C 3 mathrm N 4 . The nucleation overpotential of GCN was 15 mathrm at 1 mathrm mathrm,10.1007/s40843-021-1676-3,Highly elastic wrinkled structures for stable and low volume-expansion lithium m
